Aal;tripsk;'tripsk;
ablehnen;qädeychell;qä.'dey.chell;
ableiten;qäspratchell;qä.'spra.tchell;
ablenken;qäbanell;qä.'ba.nell;
Ablenkung;qäbanem;qä.'ba.nem;
Ablenkungsmanöver;qäbanemqeltion;;
Abmachung;qäenrem;qä.'en.rem;
abmagern;qägichrell;qä.'gich.rell;
Abmagerung;qägichrem;qä.'gich.rem;
abmelden;qäkoilell;qä.'koi.lell;
Abmeldung;qäkoilem;qä.'koi.lem;
Abnahme;qäkrench;qä.'krench;
abnehmen;qäkrenchell;qä.'kren.chell;
abnutzen;qäríwîchrell;qä.rí.'wî.chrell;
Abnutzung;qäríwîchrem;qä.rí.'wî.chrem;
Abonnement;relretch;'rel.retch;
abonnieren;relretchell;rel.'re.tchell;
abpfeifen;qämáchell;;
Abpfiff;qämáchr;;
abrechnen;qäjelchell;qä.'jel.chell;
Abrechnung;qäjelchem;qä.'jel.chem;
abrichten;qäreyxell;qä.'rey.xell;
abriegeln;qächiktionell;;
abrunden;qäxurchrell;qä.'xur.chrell;
abrutschen;qäklawkashell;qä.'klaw.ka.shell;
Absage;qäminch;'qä.minch;
absagen;qäminchell;qä.'min.chell;
abschieben;qäcorell;qä.'co.rell;
Abschiebung;qäcorem;qä.'co.rem;
Abschied;qätrolmír;;
abschießen;qächûlell;qä.'chû.lell;
abschirmen;qäârkoilell;qä.âr.'koi.lell;
Abschirmung;qäârkoilem;qä.âr.'koi.lem;
Abschlag;qäprotm;;
abschlagen;qäprotmell;;
abschleppen;qägrauashell;qä.'grau.a.shell;
abschließen;qächulmell;qä.'chul.mell;
abschminken;qäkrîpell;qä.'krî.pell;
abschneiden;qävoumell;qä.'vou.mell;
Abschnitt;qävoumash;qä.'vou.mash;
abschrecken;qäéfratchell;qä.é.'fra.tchell;
Abschreckung;qäéfratchem;qä.é.'fra.tchem;
abschreiben;qächinvell;qä.'chin.vell;
Abschreibung;qächinvem;qä.'chin.vem;
Abschrift;qäsimash;qä.'si.mash;
Abschuss;qächûlk;'qä.chûlk;
abseilen;qäkelconell;qä.'kel.co.nell;
Abseits;qätewtion;qä.'tew.tion;
abseits;qätewtiont;qä.'tew.tiont;
abservieren;qäbristionell;qä.'bris.tio-.nell;
Absicht;qäprau;'qä.prau;
absolut;kewl;'kewl;
Absolvent;gunturllok;;
absolvieren;gunturlell;;
absorbieren;rítrilshell;;
Absorption;rítrilsh;;
Abspann;qätelash;;
abspecken;qäbouchell;;
absperren;qäshroilell;;
Absperrung;qäshroilem;;
Abstand;qäonchr;'qä.on.tion;
abstatten;qäsoilell;;
absteigen;qälemchrell;;
absteigend;qälemchrellp;;
abstempeln;qägetroilell;;
Abstieg;qälemchrír;;
abstimmen;qäfralchell;;
Abstimmung;qäfralchem;;
abstoßend;qädrílpellp;;
abstumpfen;qärîperrashell;;
Absturz;qäcutch;;
abstürzen;qäcutchell;;
absurd;relroilt;;
Abteil;qäächr;;
Abteilung;qäächrem;;
abtreiben;qäalashell;;
Abtreibung;qäalashem;;
abtreten;qäneyxell;;
abwarten;qätrevashell;;
abwärts;qäset;;
abwaschen;qämurchrell;;
Abwasser;qärurch;;
abwechseln;qäprítionell;;
Abwechslung;qäprítionem;qä.'prí.tio-.nem;
abwechslungsreich;qäprítionemnotcht;;
Abwehr;qärîrash;;
abwehren;qärîrashell;;
abweichen;qäcashell;qä.'ca.shell;
Abweichung;qäcashem;qä.'ca.shem;
abweisen;qäókoshell;;
abwetzen;qäkrónótershell;qä.kró.'nó.ter.shell;
abwischen;qävolchrell;;
abwürgen;qäholshell;;
abziehen;qäwunashell;;
Abzocke;qäflikchr;;
abzocken;qäflikchrell;;
Abzug;qäwunchr;;
ach;gos;gos;
acht;traul;;
Achtel;trauling;;
Achtelfinale;traulingwesch;;
achteln;traulingell;;
achten;dourashell;;
Achtung;dourashem;;
achtzehn;étraul;;
achtzig;trauler;;
Acker;frulchr;;
Adel;dîm;;
adelig;dîmt;;
adeln;dîmell;;
Ader;milnash;;
Adler;chesk;;
adoptieren;injiltionell;;
Adoption;injiltion;;
Adresse;smin^tion;;
adressieren;smin^tionell;;
adrig;milnasht;;
Affäre;holqosh;;
Affe;bronsk;;
affig;bront;;
Agent;bremper;;
Agentur;kleykon;;
aggressiv;formchrt;;
Aggressivität;formchr;;
agieren;vekashell;;
ahnen;gripashell;;
Ahnung;gripashem;;
Ahorn;brek;;
Akademie;deskrom;;
akademisch;deskromt;;
Akkord;trej;;
Akku;telshem;;
Akt;dush;;
Akte;nelk;;
Aktenschrank;nelkskonsh;;
Aktentasche;nelksletch;;
Aktion;vekash;;
aktiv;houlchrt;;
aktivieren;houlchrell;;
Aktivität;houlchrrash;;
aktualisieren;tawnashell;'taw.na.shell;
Aktualisierung;tawnashem;'taw.na.shem;
aktuell;tawnasht;;
Akustik;krauk;;
akustisch;kraukt;;
akut;toit;;
Alarm;chrash;;
alarmieren;chrashell;;
Alarmstufe;chrashérilien;;
albern;poustionell;;
albern;poustiont;;
Album;xítion;;
Alibi;brijek;;
Alien;kolkor;;
Alkohol;frul;;
All;voil;;
alle;solemn;;
allein;groumt;;
alleinig;groumtiult;;
allen;solemn;;
allerdings;qorep;;
Allergen;sprashroil;;
Allergie;sprash;;
allergisch;sprasht;;
allerletzte;solemescheytiont;;
alles;solemp;;
Allianz;mrensh;;
Alliierte;mrensher;;
Alltag;solemproution;;
Alphabet;flemc;;
Alptraum;relmoub;;
als;ruk;;
also;resch;;
alt;frawchrt;;
Altar;liuk;;
Alter;frawchr;;
altern;frawchrell;;
alternativ;riulkt;;
Alternative;riulk;;
alternativlos;riulklept;;
alternieren;riulkell;;
Alterung;frawchrem;;
am;em;;
Ameise;lorsk;;
Ameisenbär;lorschopsk;;
Ampel;lák;;
Ampulle;grish;;
Amsel;kimsk;;
Amt;trorm;;
amtieren;trormell;;
amtierend;trormellp;;
amtlich;trormt;;
Amulett;blortion;;
amüsieren;rik^tionell;;
an;emp;;
analog;kinrem;;
Analphabet;núflemcer;;
Analphabetismus;núflemc;;
Analyse;pley^tion;;
analysieren;pley^tionell;;
Ananas;zepterrash;;
anbahnen;empulrashell;;
anbiedern;empcoutionell;;
anbieten;empturlell;;
Anblick;emploknitch;;
anbraten;emptricell;;
anbrechen;empchlashell;;
Anbruch;empchlachr;;
Andacht;knoikerron;;
andächtig;knoikerront;;
andauern;empgáchrell;;
andauernd;empgáchrellp;;
Andenken;empwench;;
andere;glamt;;
andererseits;glamttewtiont;;
ändern;doletchell;;
anders;glamt;;
Änderung;doletchem;;
andeuten;emptorshell;;
Andeutung;emptorshem;;
andocken;empkilmell;;
aneignen;emppeyrolmell;;
anfahren;empkurchell;;
Anfahrt;empkurtion;;
Anfall;empplîx;;
anfallen;empplîxell;;
Anfang;empklesch;;
anfangen;empkleschell;;
anfassen;empdírímell;;
anfertigen;empspashell;;
Anfertigung;empspashem;;
anflehen;empsilrawlshell;;
anfordern;empkialshell;;
Anforderung;empkialshem;;
Anfrage;empmítion;;
Angabe;empinchrír;;
angeben;empinchrell;;
Angeber;empinchrer;;
Angebot;empturlír;;
Angel;sloush;;
angeln;sloushell;;
angenehm;empkuproilt;;
angreifen;emptrelchell;;
Angreifer;emptrelchap;;
Angriff;emptrelchír;;
Angst;qíz;;
ängstigen;qízell;;
ängstlich;qízt;;
anhalten;empmashell;;
anhand;empstoush;;
Anhang;empeftachr;;
anhängen;empeftashell;;
Anhänger;empeftashef;;
anhänglich;empeftashrolmt;;
anheben;empsîmchell;;
anheften;empblíshell;;
anheuern;empshalvell;;
Anhieb;empfîch;;
anhören;empdílashell;;
Anhörung;empdílashem;;
Animation;loltion;;
animieren;loltionell;;
Anker;gaplash;;
ankern;gaplashell;;
anketten;empkoilchrell;;
Anklage;empcrunash;;
anklagen;empcrunashell;;
Ankläger;empcrunasher;;
anklopfen;emppleconell;;
ankommen;empblenell;;
ankoppeln;empmeyprîell;;
Ankunft;empblen;;
Anlage;empestion;;
Anlass;emphoulash;;
anlegen;empeschell;;
anlehnen;empdeychell;;
anleiten;empspratchell;;
Anleitung;empspratchem;;
anlernen;empwíchrell;;
anlocken;empnîerschell;;
anmelden;empkoilell;;
Anmeldung;empkoilem;;
anmerken;emppoktionell;;
Anmerkung;emppoktionem;;
Anmut;emprafash;;
anmutend;emprafashellp;;
annähen;empgridmell;;
annähern;empkurkell;;
Annäherung;empkurkem;;
anpacken;emprîlashell;;
anpassen;empcefchrell;;
Anpassung;empcefchrem;;
anpassungsfähig;empcefchremûtcht;;
anpfeifen;empmáchell;;
Anpfiff;empmáchr;;
anpirschen;empboxonell;;
anregen;emptroilpell;;
Anregung;emptroilpem;;
anrichten;empreyxell;;
Anruf;empkeyp;;
anrufen;empkeypell;;
Anrufer;empkeyper;;
Ansage;empminch;;
ansagen;empminchell;;
anschieben;empcorell;;
Anschlag;empprotm;;
anschließen;empchulmell;;
Anschluss;empchulk;;
anschnallen;empqílashell;;
Anschuldigung;emproizerrashem;;
anschwärzen;empfrilell;;
anschwellen;empgrutchell;;
Ansicht;empprau;;
ansiedeln;empgunchell;;
ansonsten;empskrî;'emp.skrî;
Anspannung;emptelashem;;
anspielen;empfeychell;;
Anspielung;empfeychem;;
Ansprache;emprulk;;
ansprechen;emprelkell;;
Anspruch;emprelkoi;;
Anstand;emponchr;;
anständig;emponchrrasht;;
Anständigkeit;emponchrrash;;
anstatt;empbloc;'emp.bloc;
anstecken;empclamell;;
Ansteckung;empclamem;;
anstelle;emppurtion;;
anstellen;emppurchell;;
Anstellung;emppurchem;;
anstempeln;empgetroilell;;
anstoßen;empdrílpell;;
anstreben;empbílell;;
anstrengen;empkorell;emp.'ko.rell;
anstrengend;empkorellp;emp.'ko.rellp;
Anstrengung;empkorem;emp.'ko.rem;
Anteil;empächr;;
antik;diltiont;;
Antike;diltion;;
antiquiert;dilroilat;;
Antiquität;dilroil;;
Antrag;empwitch;;
antreiben;empalashell;;
Antrieb;empalash;;
Antwort;míklash;;
antworten;míklashell;;
anvisieren;emprixchell;;
Anwalt;solstioner;;
anweisen;empókoshell;;
Anweisung;empókoshem;;
anwenden;empjerxell;;
Anwendung;empjerxem;;
anwesend;rikchrellp;;
Anwesenheit;rikchr;;
anwidern;emptextionell;;
Anzahl;empsresh;;
anzählen;empsretchell;;
anzapfen;empweskashell;;
Anzeichen;empkrál;;
Anzeige;empfleych;;
anzeigen;empfleychell;;
anziehen;empwunashell;;
Anziehung;empwunashem;;
Anzug;empwunchr;;
anzünden;empgeymchrell;;
Apfel;tromk;;
Apotheke;droup;;
Apotheker;drouper;;
Appetit;vîchr;;
appetitlich;vîchrt;;
appetitlos;vîchrlept;;
Appetitlosigkeit;vîchrlep;;
applaudieren;ribatchell;;
Applaus;ribatch;;
April;káx;;
Arbeit;melkurch;;
arbeiten;melkurchell;;
Arbeiter;melkurchap;;
Arbeitskraft;melkurchspîn;;
Arbeitskraft;melkurchspîner;;
Arbeitsweise;melkurchrélt;;
Archiv;kaukersh;'kau.kersh;
archivieren;kaukershell;'kau.ker.shell;
Arena;bric;;
Ärger;polash;;
ärgern;polashell;;
Arm;elsh;;
arm;noicht;;
Ärmel;elsherring;;
Armut;noich;;
Aroma;bäklesh;;
Arrangement;dauzerrash;;
arrangieren;dauzerrashell;;
Arrest;dialash;;
arrestieren;dialashell;;
arrogant;plauroilt;;
Arroganz;plauroil;;
Arsch;krotch;;
Art;qash;;
artig;qasht;;
Artikel;kelkerrî;;
Arznei;palx;;
Arzt;palxer;;
asozial;núfeltiont;;
Aspekt;yîperrash;;
Ass;yemroil;;
Assistent;kríhoutioner;;
assistieren;kríhoutionell;;
Ast;hawlk;;
Asteroid;íchef;'í.chef;
astro;dul;;
Astrologie;dulchr;;
Astronomie;duldash;;
Asyl;teyrorl;;
Asylant;teyrorllok;;
Atem;spenchr;;
atemberaubend;spenchrsonnsouchellp;;
Atlas;fewtion;;
atmen;spenchrell;;
Atmosphäre;bialbash;;
Atmung;spenchrem;;
atmungsaktiv;spenchremhoulchrt;;
Atom;frotch;;
atomar;frotcht;;
atomisieren;frotchell;;
Attacke;túlúterrash;;
attackieren;túlúterrashell;;
Attentat;retion;;
Attentäter;retioner;;
Attraktion;voirîk;;
attraktiv;voirît;;
Attraktivität;voirî;;
ätzen;chátionell;;
auch;rawk;;
Audio;mitlop;;
auf;cil;;
Aufbau;cildouj;;
aufbauen;cildoujell;;
aufbäumen;cildelchell;;
aufbereiten;cilkalchrell;;
Aufbereitung;cilkalchrem;;
aufbewahren;cilsonnmúchrell;;
Aufbewahrung;cilsonnmúchrem;;
Aufbewahrungsfrist;cilsonnmúchremwapash;;
aufbrechen;cilchlashell;;
Aufbruch;cilchlachr;;
aufdecken;cilbouldell;;
aufdringlich;cilnaroilt;;
Aufdringlichkeit;cilnaroil;;
Aufenthalt;ciloummash;;
auferstehen;cilawbontionell;;
Auferstehung;cilawbontionem;;
auffahren;cilkurchell;;
auffallen;cilplîxell;;
auffallend;cilplîxellp;;
auffällig;cilsmîtiont;;
Auffälligkeit;cilsmîtion;;
auffinden;cilmeymell;;
auffordern;cilkialshell;;
Aufforderung;cilkialshem;;
Aufgabe;cilinchrír;;
Aufgang;cilorschr;;
aufgeben;cilinchrell;;
aufgehen;cilorstionell;;
aufgeregt;ciltroilpat;;
aufhalsen;cilsiulchell;;
aufhalten;cilmashell;;
aufhängen;cileftashell;;
Aufhänger;cileftashef;;
Aufhängung;cileftashem;;
aufhellen;cillárashell;;
aufhetzen;cilkonchrell;;
aufhören;cildílashell;;
aufklappen;ciltripcell;;
aufklären;cilropchrell;;
Aufklärung;cilropchrem;;
aufladen;cilelchrell;;
auflehnen;cildeychell;;
auflösen;cilgautionell;;
Auflösung;cilgautionem;;
aufmerksam;shîplasht;;
Aufmerksamkeit;shîplash;;
Aufnahme;cilkrench;;
aufnehmen;cilkrenchell;;
aufpassen;cilcefchrell;;
Aufpasser;cilcefchrer;;
Aufprall;cilkolchr;;
aufprallen;cilkolchrell;;
aufräumen;cildewlashell;;
aufrecht;moschrt;;
aufregen;ciltroilpell;;
aufregend;ciltroilpellp;;
Aufregung;ciltroilpem;;
aufrichtig;mosmerroilt;;
Aufrichtigkeit;mosmerroil;;
Aufruhr;cilfläm;;
aufrunden;cilxurchrell;;
aufschlagen;cilprotmell;;
aufschließen;cilchulmell;;
Aufschluss;cilchulk;;
aufschlussreich;cilchulknotcht;;
Aufschrei;cilmaskam;;
aufschreiben;cilchinvell;;
Aufschrift;cilsimash;;
Aufsehen;cilprî;;
Aufsicht;cilprau;;
aufspießen;cilrialerrashell;;
aufstehen;cilontionell;;
aufsteigend;cillemchrellp;;
aufstellen;cilpurchell;;
Aufstellung;cilpurchem;;
auftauchen;cilroichell;;
auftauen;cilstoumell;;
auftischen;cilwentionell;;
Auftrag;cilwitch;;
auftragen;cilwitchell;;
Auftragsbestätigung;cilwitchjuktionem;;
auftreten;cilneyxell;;
Auftritt;cilneyxír;;
aufwachen;cilcûlell;;
Aufwand;ciljerx;;
aufwärmen;cilchawdretchell;;
aufwärts;cilset;;
aufwecken;cildotchell;;
aufwenden;ciljerxell;;
aufwirbeln;ciltestashell;;
Aufzug;cilwunchr;;
Auge;pash;;
Augenblick;pashloknitch;;
Augenlid;pashhítoil;;
Augenzeuge;pashstratchap;;
August;blocerrosh;;
Auktion;venash;;
Aura;treymun;;
aus;torf;;
ausatmen;torfspenchrell;;
Ausatmung;torfspenchrem;;
Ausbau;torfdouj;;
ausbauen;torfdoujell;;
ausbessern;torfwîtiontemell;;
ausbeuten;torfguchrell;;
Ausbeutung;torfguchrem;;
Ausbilder;torfzíchrer;;
Ausbildung;torfzíchrem;;
ausblenden;torfblástionell;;
ausbrechen;torfchlashell;;
ausbreiten;torfshîmell;;
Ausbreitung;torfshîmem;;
Ausbruch;torfchlachr;;
ausbrüten;torfveschrell;;
Ausdauer;torfgáchr;;
ausdauernd;torfgáchrellp;;
ausdenken;torfwenchell;;
Ausdruck;torfploich;;
ausdrucken;torfploichell;torf.'ploi.chell;
ausdrücken;torfploichrell;torf.'ploi.chrell;
ausdrücklich;torfploichrt;;
ausdrucksvoll;torfploichbít;;
auseinander;torfelmglamt;;
Auseinandersetzung;torfelmglamtwinashem;;
ausfallen;torfplîxell;;
Ausflug;torfawtion;;
ausführen;torfrutchell;;
Ausführung;torfrutchem;;
ausfüllen;torfamtionell;;
Ausgabe;torfinchrír;;
Ausgang;torforschr;;
ausgeben;torfinchrell;;
ausgebucht;torfsolotchat;;
Ausgeburt;torfrelx;;
ausgehen;torforstionell;;
ausgerichtet;torfreyxat;;
ausgezeichnet;torfkrálat;;
Ausgleich;torfdelvnchr;;
ausgleichen;torfdelvnchrell;;
ausgraben;torfprilroilell;;
Ausgrabung;torfprilroilem;;
Ausguss;torfmurvestionír;;
ausharren;torfkelrîell;;
aushärten;torfeyrashell;;
aushelfen;torfinftionell;;
Aushub;torfsîmchír;;
ausklinken;torffrinshell;;
ausknipsen;torfgifshell;;
auskugeln;torfchelûkell;torf.'che.lû.kell;
Auskunft;lolchr;;
auslachen;torfrelell;;
Ausland;torfmaleyk;;
Auslauf;torfdorchr;;
auslaufen;torfdorchrell;;
ausleihen;torfpewell;;
Auslese;torfnar;;
auslöffeln;torfnîlawkell;;
ausloggen;torfqishell;;
auslösen;torfgautionell;;
Auslöser;torfgautionef;;
ausmachen;torfenrell;;
ausmergeln;torftinashell;;
ausmisten;torfdonshell;;
Ausnahme;torfkrench;;
Ausnahmefall;torfkrenchplîx;;
ausnahmsweise;torfkrenchrélt;;
ausnehmen;torfkrenchell;;
ausplaudern;torfdiftipell;;
ausprobieren;torfblektionell;;
Auspuff;torfvîlash;;
ausrasten;torfstrolashell;;
ausräuchern;torfchawewchrell;;
Ausrede;torfrálk;;
ausreichen;torfleschell;;
ausreichend;torfleschellp;;
ausreißen;torfmächrell;;
ausrenken;torfpewchell;;
ausrichten;torfreyxell;;
ausrotten;torfdashroilell;;
Ausrottung;torfdashroilem;;
Ausrufezeichen;torfkeypkrál;;
ausrüsten;torf^chialtionell;;
Ausrüster;torf^chialtioner;;
Ausrüstung;torf^chialtionem;;
ausrutschen;torfklawkashell;;
Aussage;torfminch;;
aussagen;torfminchell;;
ausschalten;torfhîchrell;;
ausscheiden;torftrolmell;;
Ausscheidung;torftrolmem;;
ausschlafen;torfîfchrell;;
Ausschlag;torfprotm;;
ausschließlich;torfchulmt;;
Ausschließlichkeit;torfchulm;;
Ausschluss;torfchulk;;
ausschneiden;torfvoumell;;
Ausschnitt;torfvoumash;;
Ausschuss;torfchûlk;;
außen;ritchef;'ri.tchef;
Außenspiegel;ritchefinfrolm;;
außer;tîsh;;
außerdem;tîshbey;'tîsh.bey;
außerirdisch;tîshelptiont;;
äußern;puktashell;;
außerordentlich;tîshfiltiont;;
äußerst;ritcheftes;;
Äußerung;puktashem;;
aussiedeln;torfgunchell;;
aussöhnen;torftixell;;
aussondern;torfpurlell;;
aussperren;torfshroilell;;
ausspielen;torffeychell;;
Aussprache;torfrulk;;
aussprechen;torfrelkell;;
Ausstand;torfonchr;;
ausstehen;torfontionell;;
aussteigen;torflemchrell;;
Ausstieg;torflemchrír;;
Ausstoß;torfdrílp;;
ausstoßen;torfdrílpell;;
aussuchen;torftrapashell;;
austeilen;torfächrell;;
austreiben;torfalashell;;
Austreibung;torfalashem;;
austreten;torfneyxell;;
austricksen;torffragashell;;
Austritt;torfneyxír;;
austrocknen;torftawroilell;;
austrudeln;torfkel^chdell;;
Auswahl;torfjeyxír;;
auswechseln;torfprítionell;;
Auswechslung;torfprítionem;;
Ausweg;torfprurk;;
ausweglos;torfprurklept;;
ausweichen;torfcashell;;
ausweiden;torfgalchell;;
Ausweidung;torfgalchem;;
Ausweis;torfókosh;;
ausweisen;torfókoshell;;
Ausweisung;torfókoshem;;
auswendig;torfhelasht;;
auswerten;torfopchîmell;;
Auswertung;torfopchîmem;;
auswringen;torfmítershell;;
Auszeichnung;torfkrálem;;
Auszeit;torflouk;;
ausziehen;torfwunashell;;
Auszug;torfwunchr;;
Author;ziullok;;
Authorisation;beshrolm;;
authorisieren;beshrolmell;;
Auto;fench;;o
auto;re^ch;;
Autohaus;fenchtormtion;;
Automat;re^chchref;;
Automation;re^chchr;;
automatisch;re^chchrt;;
Autopsie;loption;;
Autostart;re^chchpash;;
Avocado;kenlor;;
Axt;trelosh;;
Baby;nûlmek;;
Bach;brenk;;
backen;horlell;;
Bäcker;horllok;;
Bäckerei;horltrásp;;
Bäckerin;horlin;;
Backofen;horlbrinsh;;
Bad;nurk;;
baden;nurkell;;
Badezimmer;nurkfewp;;
Bahn;ulrash;;
bahnen;ulrashell;;
Bahnhof;ulrashfîp;;
Bakterie;sîlex;;
bald;lensh;;
Balken;trostion;;
Balkon;yúmom;;
Ball;kroup;;
Ballast;peyp;;
Ballaststoff;peyptrilm;;
Ballon;trevauch;;
Balsam;bouash;;
Banane;awdren;;
Band;muktion;;
Bandage;dromash;;
bandagieren;dromashell;;
bange;tírûsht;;
bangen;tírûshell;;
Bank;kewk;;
Bank;kewm;;
Banker;kewmer;;
Bann;píperrash;;
bannen;píperrashell;;
Bär;chopsk;;
bar;kólosht;;
Bar;shoil;;
Barbar;klurtioner;;
barbarisch;klurtiont;;
Bart;tro´ch;;
bärtig;tro´cht;;
basieren;roxchrell;;
Basis;roxchr;;
basteln;drípashell;;
Bastler;drípasher;;
Batterie;nûlhutch;;
Bau;douj;;
Bauch;laul;;
bauen;doujell;;
Bauer;jugler;;
Baugruppe;doujteych;;
Baum;delch;;
Baumhaus;delchtormtion;;
Baumstamm;delchmewm;;
Baustein;doujshatch;;
Baustelle;doujpurtion;;
beabsichtigen;sonnqäprauell;;
Beabsichtigung;sonnqäprauem;;
Beamter;sonntrormer;;
beanstanden;sonnemponchrell;;
Beanstandung;sonnemponchrem;;
beantragen;sonnempwitchell;;
bearbeiten;sonnmelkurchell;;
Bearbeitung;sonnmelkurchem;;
beäugen;sonnpashell;;
beben;trukell;;
Becher;vurmuk;;
Becken;vejok;;
bedachen;sonnmlúlell;;
Bedachung;sonnmlúlem;;
bedanken;sonnxílonell;;
Bedarf;sonntrímem;sonn.'trí.mem;
bedeckt;sonnbouldat;;
bedenken;sonnwenchell;;
bedenklich;sonnwencht;;
Bedenkzeit;sonnwenchlouk;;
bedeuten;sonntorshell;;
Bedeutung;sonntorshem;;
bedienen;sonnrialchrell;sonn.'rial.chrell;
Bedienung;sonnrialchrem;;
bedingt;kroltiont;;
Bedingung;kroltionem;;
bedrängen;sonnmelchrell;;
Bedrängnis;sonnmelchr;;
bedrohen;sonnroierchrell;;
bedrohlich;sonnroierchrt;;
Bedrohung;sonnroierchrem;;
bedürfen;sonntrell;'sonn.trell;
Bedürfnis;sonntrí;'sonn.trí;
beeilen;sonnpereshell;;
beeindrucken;sonnelmploichell;;
beeindruckend;sonnelmploichellp;;
beeinflussen;sonnelmkromtionell;;
Beeinflussung;sonnelmkromtionem;;
beenden;sonncúmchrell;;
Beendigung;sonncúmchrem;;
beerdigen;spufchell;;
Beerdigung;spufchem;;
Beere;îk;;
Beet;kopron;;
befangen;sonnkleschat;;
befassen;sonndírímell;;
Befehl;sonnmurc;;
befehlen;sonnmurcell;;
befestigen;sonnprashell;;
Befestigung;sonnprashem;;
befeuchten;sonnbrolashell;;
Befinden;sonnmeym;;
befinden;sonnmeymell;;
befindlich;sonnmeymtiont;;
Befindlichkeit;sonnmeymtion;;
beflügeln;sonnkomtionell;;
befreien;sonnlouchell;;
Befreiung;sonnlouchem;;
befreundet;sonncinmat;;
befristet;sonnwapashat;;
Befugnis;kouchr;;
befugt;kouchrt;;
Befund;sonnmeym;;
befürchten;sonnqilmell;;
Befürchtung;sonnqilmem;;
begabt;sonnârbasht;;
Begabung;sonnârbashem;;
begatten;sonnrúmchrell;;
begeben;sonninchrell;;
Begebenheit;sonninchr;;
begegnen;celchrell;;
Begegnung;celchrem;;
begehren;sonnroumîell;;
begehrenswert;sonnroumîopchîmt;;
begeistern;sonnbroshell;;
Begeisterung;sonnbroshem;;
Begierde;sonnroumî;;
begierig;sonnroumît;;
Beginn;kelrelchr;;
beginnen;kelrelchrell;;
begleiten;sonnkoptionell;;
Begleiter;sonnkoptioner;;
Begleitung;sonnkoptionem;;
begnügen;sonnshîlashell;sonn.'shî.la.shell;
begraben;sonnprilroilell;;
begreifen;sonntrelchell;;
begrenzen;sonnbruklashell;;
begrenzt;sonnbruklasht;;
Begriff;sonntrelchír;;
begründen;sonnkorchrell;;
Begründung;sonnkorchrem;;
begrüßen;sonnîstionell;;
Begrüßung;sonnîstionem;;
begutachten;sonnustrashell;;
behalten;sonnmashell;;
Behälter;sonnmashef;;
behandeln;sonntrindell;;
Behandlung;sonntrindem;;
beharrlich;sonnkelrît;;
Beharrlichkeit;sonnkelrî;;
behaupten;sonnbloukell;;
Behauptung;sonnbloukem;;
beherrschen;sonnbreyxell;;
Beherrschung;sonnbreyxem;;
beherzigen;sonnsorshell;;
behilflich;sonninftiont;;
behindern;sonndashchrell;;
Behinderung;sonndashchrem;;
Behörde;gunchr;;
behüten;sonnzoilell;;
behutsam;sonnzoilt;;
bei;strill;;
beibringen;strilltanell;;
beide;sinsh;;
beiderseits;sinchtewtiont;;
beidseitig;sinshtewt;;
beige;gifsp;gifsp;
Beil;bensh;;
Beilage;strillestion;;
beim;strillb;;
Bein;drún;;
beinahe;strillkurkt;;
beinhalten;sonnúlmashell;;
beinig;drúnt;;
beiseite;strilltew;;
Beispiel;ixem;;
